using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
connecting to /dev/ttyUSB0 (115200) [OK]
 P 0 0 62 7744
 P 0 0 3452 78894
 P 0 0 6842 151074
 P 0 0 10232 223254
 P 0 0 13622 295434
 P 67 0 17014 369611
 P 67 0 20404 439794
 P 67 0 23794 511974
 P 67 0 27184 584154
 P 67 0 30574 656334
 P 134 0 33966 729007
 P 134 0 37356 800694
 P 134 0 40746 872874
 P 134 0 44136 945054
 P 134 0 47526 1017234
 P 201 0 50918 1089811
 P 201 0 54308 1161594
 P 201 0 57698 1233774
 P 201 0 61088 1305954
 P 201 0 64478 1378134
 P 268 0 67870 1452535
 P 268 0 71260 1522494
 P 268 0 74650 1594674
 P 268 0 78040 1666854
 P 2050 0 79648 1739034
 P 2117 0 83040 1813595
 P 2117 0 86430 1883394
 P 2117 0 89820 1955574
 P 2117 0 93210 2027754
 P 4620 0 93218 2099934
 P 5548 0 93229 2173727
 P 7020 0 93238 2244294
 P 7020 0 96628 2316474
 P 7020 0 100018 2388654
 P 7020 0 103408 2460834
 P 9716 0 103418 2534603
 P 10936 0 103428 2606807
 P 10936 0 106818 2677374
 P 10936 0 110208 2749554
 P 10936 0 113598 2821734
 P 12788 0 113606 2893914
 P 14271 0 113617 2967683
 P 14338 0 117009 3039887
 P 14338 0 120399 3110454
 P 14338 0 123789 3182634
 P 16893 0 123798 3254814
 P 18047 0 123806 3326994
 P 18114 0 127198 3400819
 P 18114 0 130588 3471354
 P 18114 0 133978 3543534
 P 20861 0 133986 3615714
 P 23231 0 133995 3687894
 P 23298 0 137387 3761111
 P 23298 0 140777 3832254
 P 23298 0 144167 3904434
 P 25724 0 144175 3976614
 P 26751 0 144183 4048794
 P 26818 0 147575 4123323
 P 26818 0 150965 4193154
 P 26818 0 154355 4265334
 P 28412 0 154363 4337514
 P 29631 0 154372 4409694
 P 29698 0 157764 4483871
 P 29698 0 161154 4554054
 P 29698 0 164544 4626234
 P 31995 0 164552 4698414
 P 32895 0 164560 4770594
 P 32962 0 167952 4843267
 P 32962 0 171342 4914954
 P 32962 0 174732 4987134
 P 35450 0 174740 5059314
 P 37566 0 174749 5131494
 P 37633 0 178141 5204071
 P 37633 0 181531 5275854
 P 37633 0 184921 5348034
 P 39800 0 184930 5420214
 P 42621 0 184938 5492394
 P 42688 0 188330 5566795
 P 42688 0 191720 5636754
 P 42688 0 195110 5708934
 P 44023 0 195118 5781114
 P 44988 0 195127 5853294
 P 45055 0 198519 5927855
 P 45055 0 201909 5997654
 P 45055 0 205299 6069834
 P 45055 0 208689 6142014
 P 45909 0 208697 6214194
 P 47358 0 208707 6287763
 P 47358 0 212097 6358554
 P 47358 0 215487 6430734
 P 47358 0 218877 6502914
 P 50195 0 218885 6575094
 P 51580 0 218896 6649079
 P 51580 0 222286 6719454
 P 51580 0 225676 6791634
 P 51580 0 229066 6863814
 P 53840 0 229075 6935994
 P 56698 0 229085 7010267
 P 56698 0 232475 7080354
 P 56698 0 235865 7152534
 P 56698 0 239255 7224714
 P 57870 0 239263 7296894
 P 59640 0 239274 7369791
 P 59640 0 242664 7441254
 P 59640 0 246054 7513434
 P 59640 0 249444 7585614
 P 61259 0 249452 7657794
 P 63478 0 249462 7732259
 P 63478 0 252852 7802154
 P 63478 0 256242 7874334
 P 63478 0 259632 7946514
 P 65032 0 259641 8018694
 P 67187 0 259652 8092039
 P 67187 0 263042 8163054
 P 67187 0 266432 8235234
 P 67187 0 269822 8307414
 P 68165 0 269830 8379594
 P 69745 0 269840 8453739
 P 69745 0 273230 8523954
 P 69745 0 276620 8596134
 P 69745 0 280010 8668314
 P 69745 0 283400 8740494
 P 70661 0 283410 8813775
 P 72142 0 283419 8884854
 P 72142 0 286809 8957034
 P 72142 0 290199 9029214
 P 72142 0 293589 9101394
 P 75041 0 293599 9174707
 P 76204 0 293607 9245754
 P 76204 0 296997 9317934
 P 76204 0 300387 9390114
 P 76204 0 303777 9462294
 P 78526 0 303788 9534999
 P 80904 0 303797 9606654
 P 80904 0 307187 9678834
 P 80904 0 310577 9751014
 P 80904 0 313967 9823194
 P 82138 0 313977 9897211
 P 83173 0 313985 9967554
 P 83173 0 317375 10039734
 P 83173 0 320765 10111914
 P 83173 0 324155 10184094
 P 84854 0 324165 10257759
 P 86081 0 324174 10328454
 P 86081 0 327564 10400634
 P 86081 0 330954 10472814
 P 86081 0 334344 10544994
 P 87697 0 334355 10619203
 P 88605 0 334363 10689354
 P 88605 0 337753 10761534
 P 88605 0 341143 10833714
 P 88605 0 344533 10905894
 P 89645 0 344543 10980007
 P 91769 0 344552 11050254
 P 91769 0 347942 11122434
 P 91769 0 351332 11194614
 P 91769 0 354722 11266794
 P 93768 0 354732 11340683
 P 96597 0 354740 11411154
 P 96597 0 358130 11483334
 P 96597 0 361520 11555514
 P 96597 0 364910 11627694
 P 99043 0 364921 11701743
 P 100016 0 364930 11772054
 P 100016 0 368320 11844234
 P 100016 0 371710 11916414
 P 100016 0 375100 11988594
 P 102398 0 375110 12061651
47492 R 3.0 1 1 213 1
 P 104136 271 375119 12132954
47773 R 2.0 1 1 518 2
 P 105527 543 375128 12205134
48052 R 5.0 1 2 644 3
 P 106453 731 375136 12277314
48336 R 4.0 1 2 971 4
 P 107843 1003 375144 12349494
