using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
connecting to /dev/ttyUSB0 (115200) [OK]
 P 0 0 61 7744
 P 0 0 3451 78894
 P 0 0 6841 151074
 P 0 0 10231 223254
 P 0 0 13621 295434
 P 67 0 17013 369611
 P 67 0 20403 439794
 P 67 0 23793 511974
 P 67 0 27183 584154
 P 67 0 30573 656334
 P 134 0 33965 729007
 P 134 0 37355 800694
 P 134 0 40745 872874
 P 134 0 44135 945054
 P 134 0 47525 1017234
 P 201 0 50917 1089811
 P 201 0 54307 1161594
 P 201 0 57697 1233774
 P 201 0 61087 1305954
 P 201 0 64477 1378134
 P 268 0 67869 1452535
 P 268 0 71259 1522494
 P 268 0 74649 1594674
 P 268 0 78039 1666854
 P 2051 0 79646 1739034
 P 2118 0 83038 1813595
 P 2118 0 86428 1883394
 P 2118 0 89818 1955574
 P 2118 0 93208 2027754
 P 4621 0 93216 2099934
 P 5550 0 93226 2173727
 P 7022 0 93234 2244294
 P 7022 0 96624 2316474
 P 7022 0 100014 2388654
 P 7022 0 103404 2460834
 P 9774 0 103414 2534659
 P 9774 0 106804 2605194
 P 11247 0 106812 2677374
 P 11247 0 110202 2749554
 P 11247 0 113592 2821734
 P 13111 0 113603 2895527
 P 13971 0 113611 2966094
 P 15125 0 113619 3038274
 P 15125 0 117009 3110454
 P 15125 0 120399 3182634
 P 15192 0 123791 3256459
 P 17875 0 123800 3326994
 P 20245 0 123808 3399174
 P 20245 0 127198 3471354
 P 20245 0 130588 3543534
 P 20312 0 133980 3616751
 P 22163 0 133988 3687894
 P 23189 0 133996 3760074
 P 23189 0 137386 3832254
 P 23189 0 140776 3904434
 P 23256 0 144168 3978963
 P 25810 0 144176 4048794
 P 27029 0 144184 4120974
 P 27029 0 147574 4193154
 P 27029 0 150964 4265334
 P 27096 0 154356 4339511
 P 29841 0 154365 4409694
 P 30740 0 154373 4481874
 P 30740 0 157763 4554054
 P 30740 0 161153 4626234
 P 30807 0 164545 4698907
 P 33232 0 164553 4770594
 P 35348 0 164561 4842774
 P 35348 0 167951 4914954
 P 35348 0 171341 4987134
 P 35415 0 174733 5059711
 P 37007 0 174741 5131494
 P 39827 0 174749 5203674
 P 39827 0 178139 5275854
 P 39827 0 181529 5348034
 P 39894 0 184921 5422435
 P 42189 0 184930 5492394
 P 43154 0 184938 5564574
 P 43154 0 188328 5636754
