using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB2
connecting to /dev/ttyUSB2 (115200) [OK]
 P 0 0 0 2514179
 P 0 0 3390 2634479
 P 0 0 6780 2754779
 P 0 0 10232 2876461
 P 0 0 13622 2995379
 P 0 0 17012 3115679
 P 0 0 20402 3235979
 P 0 0 23792 3356279
 P 306 0 29515 3481243
 P 635 0 32914 3597546
 P 2966 0 33973 3717179
 P 3795 0 36534 3837479
 P 3795 0 39924 3957779
 P 3795 0 43314 4078079
 P 4125 0 46713 4200870
 P 6400 0 46717 4318679
 P 8520 0 46725 4438979
 P 8520 0 50115 4559279
 P 8520 0 53505 4679579
 P 8850 0 56904 4801538
 P 10136 0 56908 4920179
 P 11651 0 56917 5040479
 P 11651 0 60307 5160779
 P 11651 0 63697 5281079
 P 11981 0 67096 5403742
 P 13972 0 67099 5521679
 P 16803 0 67108 5641979
 P 16803 0 70498 5762279
 P 16803 0 73888 5882579
 P 17133 0 77287 6005434
 P 18198 0 77290 6123179
 P 19176 0 77299 6243479
 P 19176 0 80689 6363779
 P 19176 0 84079 6484079
 P 19505 0 87478 6606613
 P 20508 0 87481 6724679
 P 23378 0 87489 6844979
 P 23378 0 90879 6965279
 P 23378 0 94269 7085579
 P 23708 0 97668 7207283
 P 26184 0 97672 7326179
 P 28769 0 97681 7446479
 P 28769 0 101071 7566779
 P 28769 0 104461 7687079
 P 29098 0 107860 7809486
 P 30840 0 107864 7927679
 P 32500 0 107873 8047979
 P 32500 0 111263 8168279
 P 32500 0 114653 8288579
 P 32829 0 118052 8411178
 P 34765 0 118056 8529179
 P 36397 0 118065 8649479
 P 36397 0 121455 8769779
 P 36397 0 124845 8890079
 P 36727 0 128244 9012358
 P 38633 0 128248 9130679
 P 39660 0 128257 9250979
 P 39660 0 131647 9371279
 P 39660 0 135037 9491579
 P 39990 0 138436 9613026
 P 42122 0 138440 9732179
 P 44112 0 138449 9852479
 P 44112 0 141839 9972779
 P 44112 0 145229 10093079
 P 44441 0 148628 10215229
 P 46159 0 148632 10333679
 P 46159 0 152022 10453979
 P 47898 0 152030 10574279
 P 47898 0 155420 10694579
 P 48227 0 158819 10816921
 P 50907 0 158822 10935179
 P 50907 0 162212 11055479
 P 51849 0 162221 11175779
 P 51849 0 165611 11296079
 P 52178 0 169010 11418101
 P 54380 0 169013 11536679
 P 54380 0 172403 11656979
 P 55933 0 172412 11777279
 P 55933 0 175802 11897579
 P 58145 73 175817 12019010
 P 60671 346 175828 12139448
 P 61918 691 175848 12261213
 P 63901 691 178424 12383731
 P 65717 963 181005 12503871
 P 67054 1235 183586 12624171
 P 69320 1506 186167 12744471
 P 71522 1779 188748 12864771
 P 74121 1852 188763 12981187
 P 75749 2125 191345 13105531
 P 78349 2198 191361 13221789
 P 80170 2198 193942 13346131
 P 81774 2271 193962 13464211
 P 82796 2717 193973 13583343
 P 85045 2790 193988 13702988
 P 86389 2790 196569 13827331
 P 88639 2863 196584 13943587
 P 90246 3208 196604 14065871
 P 92235 3288 196610 14184749
 P 93582 3288 199190 14308371
 P 95834 3361 199204 14424787
 P 97906 3361 202263 14549131
 P 100159 3434 202278 14665388
 P 101988 3434 204859 14789731
 P 103338 3434 207440 14909871
 P 105592 3506 207455 15026286
 P 106943 3506 210036 15150631
 P 109197 3579 210051 15266887
 P 110550 3851 212633 15391231
 P 112805 3924 212648 15507487
 P 114159 3924 215229 15631831
 P 116442 3924 217809 15751971
 P 119050 3948 217825 15868338
 P 121149 4021 217845 15990672
 P 122450 4021 217855 16109828
 P 124708 4094 217870 16229288
 P 126066 4366 220451 16353631
 P 128326 4438 220465 16469886
 P 129685 4438 223046 16594231
 P 131944 4511 223060 16710487
 P 133305 4511 225640 16834831
 P 135565 4584 225655 16951088
 P 137190 4657 225675 17073372
 P 139188 4748 225681 17192260
 P 140551 4748 228262 17315871
 P 142812 4821 228277 17432288
 P 144657 4821 230858 17556631
 P 146022 4821 233439 17676771
 P 147068 4821 236020 17797071
 P 149330 4894 236035 17913487
 P 150697 4894 238616 18037831
 P 152961 4967 238631 18154088
 P 154330 4967 241212 18278431
 P 156594 5040 241227 18394687
 P 157965 5312 243808 18519031
 P 160231 5385 243822 18635288
 P 161603 5385 246402 18759631
 P 163868 5458 246417 18875887
 P 165954 5458 249487 19000231
 P 168256 5458 252067 19120371
 P 169310 5458 254648 19240671
 P 171581 5458 257230 19360971
 P 173201 5458 257240 19478657
 P 174839 5531 257261 19599512
 P 176845 5531 259838 19722031
 P 178703 5531 262419 19842171
 P 180081 5531 265000 19962471
 P 181140 5531 267581 20082771
 P 183411 5604 267595 20199188
 P 184791 5877 270177 20323531
 P 187061 5950 270192 20439787
 P 188443 5950 272772 20564131
 P 190715 6023 272787 20680388
 P 192098 6295 275368 20804731
 P 194370 6368 275382 20920988
 P 195754 6368 277963 21045331
 P 198028 6441 277977 21161589
