using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB1
connecting to /dev/ttyUSB1 (115200) [OK]
 P 0 0 0 2517086
 P 0 0 3390 2637386
 P 0 0 6780 2757686
 P 0 0 10231 2878824
 P 0 0 13621 2998286
 P 0 0 17011 3118586
 P 0 0 20401 3238886
 P 0 0 23791 3359186
 P 67 0 29753 3484374
 P 134 0 35715 3603362
 P 2789 0 36788 3721361
 P 3613 0 39354 3840386
 P 3613 0 42744 3960686
 P 3613 0 46134 4080986
 P 3613 0 49524 4201286
 P 6276 0 49542 4322541
 P 8323 0 49546 4441886
 P 8323 0 52936 4562186
 P 8323 0 56326 4682486
 P 8323 0 59716 4802786
 P 9995 0 59734 4925257
 P 11435 0 59738 5043386
 P 11435 0 63128 5163686
 P 11435 0 66518 5283986
 P 11435 0 69908 5404286
 P 13811 0 69926 5525413
 P 16565 0 69930 5644886
 P 16565 0 73320 5765186
 P 16565 0 76710 5885486
 P 16565 0 80100 6005786
 P 18013 0 80118 6127105
 P 18914 0 80121 6246386
 P 18914 0 83511 6366686
 P 18914 0 86901 6486986
 P 18914 0 90291 6607286
 P 20040 0 90302 6728020
 P 23160 0 90315 6849161
 P 23160 0 93705 6968186
 P 23160 0 97095 7088486
 P 23160 0 100485 7208786
 P 25686 0 100494 7329086
 P 28517 0 100507 7450341
 P 28517 0 103897 7569686
 P 28517 0 107287 7689986
 P 28517 0 110677 7810286
 P 30307 0 110686 7930586
 P 32212 0 110698 8053057
 P 32212 0 114088 8171186
 P 32212 0 117478 8291486
 P 32212 0 120868 8411786
 P 34194 0 120877 8532086
 P 36069 0 120890 8653213
 P 36069 0 124280 8772686
 P 36069 0 127670 8892986
 P 36069 0 131060 9013286
 P 38019 0 131070 9133586
 P 39288 0 131082 9254905
 P 39288 0 134472 9374186
 P 39288 0 137862 9494486
 P 39288 0 141252 9614786
 P 41462 0 141261 9735086
 P 43692 0 141274 9856085
 P 43692 0 144664 9975686
 P 43692 0 148054 10095986
 P 43692 0 151444 10216286
 P 45450 0 151453 10336586
 P 45780 0 154853 10458803
 P 47426 0 154857 10577186
 P 47426 0 158247 10697486
 P 47426 0 161637 10817786
 P 50144 0 161646 10938086
 P 50473 0 165045 11061005
 P 51320 0 165049 11178686
 P 51320 0 168439 11298986
 P 51320 0 171829 11419286
 P 53558 0 171838 11539586
 P 53888 0 175237 11660649
 P 55345 0 175240 11780186
 P 55345 0 178630 11900486
 P 57330 272 181213 12025578
 P 60077 345 181227 12142602
 P 60966 345 181233 12262300
 P 63476 418 182225 12383107
 P 65457 491 182239 12503183
 P 66957 564 182254 12623642
 P 69421 564 184532 12747058
 P 71785 637 184547 12864402
 P 74154 1108 184558 12984072
 P 75944 1181 184573 13105003
 P 78449 1517 184584 13224673
 P 80431 1590 184598 13345603
 P 81675 1590 184604 13465300
 P 82857 1663 184619 13586202
 P 84876 2132 184631 13705870
 P 86380 2205 184645 13826803
 P 88341 2476 184656 13946215
 P 89528 2476 184661 14066835
 P 91807 2549 184680 14187606
 P 93311 2622 184695 14307682
 P 95328 2622 187275 14431258
 P 96834 2695 187289 14548603
 P 98851 2890 187299 14668267
 P 100837 2963 187314 14789203
 P 102342 3036 187329 14909407
 P 104359 3308 189910 15031702
 P 105865 3381 189925 15150102
 P 107883 3573 189935 15269764
 P 109391 3646 189949 15390703
 P 111408 3838 189959 15510364
 P 112916 3911 189974 15631303
 P 115351 3983 189989 15751504
 P 117720 3983 192570 15873802
 P 119450 3983 192576 15991696
 P 120959 4056 192591 16112503
 P 122976 4246 192601 16232162
 P 124485 4319 192617 16353103
 P 126502 4319 195197 16475142
 P 128012 4392 195211 16593702
 P 130029 4852 195222 16713360
 P 131540 4925 195237 16834303
 P 133560 4925 195248 16953776
 P 134813 4925 195253 17074396
 P 137091 4998 195273 17195107
 P 138602 5071 195288 17315182
 P 140618 5071 197869 17438758
 P 142611 5144 197884 17556103
 P 144124 5217 197899 17676307
 P 145317 5290 197914 17796383
 P 147333 5562 200495 17919958
 P 148846 5635 200510 18037302
 P 150862 6091 200521 18156956
 P 152376 6164 200535 18277902
 P 154392 6346 200546 18397555
 P 155907 6419 200561 18518503
 P 157923 6874 200572 18638155
 P 159439 6947 200587 18759102
 P 161459 6947 200598 18878576
 P 162975 7020 200613 18999703
 P 165420 7093 200627 19119907
 P 166617 7166 200642 19239983
 P 169030 7239 200657 19360443
 P 170835 7312 200671 19481799
 P 172201 7312 200681 19602119
 P 174485 7385 200700 19721502
 P 176484 7458 200714 19841707
 P 178003 7531 200728 19961783
 P 179202 7604 200743 20082243
 P 181218 7876 203324 20206074
 P 182738 7949 203339 20323002
 P 184754 8397 203350 20442648
 P 186274 8470 203365 20563603
 P 188290 8646 203376 20683248
 P 189811 8719 203390 20804203
 P 191827 8894 203401 20923848
 P 193347 8967 203416 21044803
 P 195363 9143 203427 21164448
 P 196884 9216 203442 21285402
 P 198901 9216 206023 21407442
 P 200424 9289 206037 21526003
 P 202444 9289 206048 21645476
 P 203708 9289 206054 21766096
 P 205992 9362 206073 21886903
 P 207515 9435 206087 22007106
 P 209492 9435 206098 22126793
 P 211016 9508 206113 22247803
 P 213032 9680 206124 22367444
 P 214557 9753 206139 22488403
 P 216573 10196 206150 22608043
 P 218098 10269 206164 22729002
 P 220114 10438 206175 22848641
 P 221640 10511 206190 22969603
 P 223656 10951 206201 23089240
 P 225664 11024 206216 23210203
 P 226932 11024 206222 23329900
 P 229210 11097 206242 23450706
 P 230737 11170 206256 23570782
 P 232753 11442 208837 23694358
 P 235576 11515 208857 23811607
 P 237585 11588 208871 23931683
 P 239595 11661 208885 24052144
 P 241122 11661 211200 24175558
 P 242330 11734 211215 24292902
 P 244346 12170 211226 24412536
 P 245876 12243 211241 24533503
 P 247892 12406 211252 24653135
 P 249423 12479 211266 24774103
 P 251443 12751 211277 24893576
 P 252716 12751 211283 25014196
 P 254994 12824 211303 25134906
 P 256526 12897 211317 25254983
