using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB1
connecting to /dev/ttyUSB1 (115200) [OK]
 P 0 0 0 1970424
 P 0 0 3390 2090724
 P 0 0 6780 2211024
 P 0 0 10231 2332162
 P 0 0 13621 2451624
 P 0 0 17011 2571924
 P 0 0 20401 2692224
 P 0 0 23791 2812524
 P 67 0 29753 2937712
 P 134 0 35715 3056700
 P 2790 0 36787 3174698
 P 3613 0 39354 3293724
 P 3613 0 42744 3414024
 P 3613 0 46134 3534324
 P 3613 0 49524 3654624
 P 6276 0 49541 3775879
 P 8323 0 49544 3895224
 P 8323 0 52934 4015524
 P 8323 0 56324 4135824
 P 8323 0 59714 4256124
 P 9996 0 59731 4378596
 P 11436 0 59735 4496724
 P 11436 0 63125 4617024
 P 11436 0 66515 4737324
 P 11436 0 69905 4857624
 P 13812 0 69922 4978751
 P 16213 0 69926 5098224
 P 16213 0 73316 5218524
 P 16213 0 76706 5338824
 P 16213 0 80096 5459124
 P 18782 0 80113 5580443
 P 20417 0 80117 5699724
 P 20417 0 83507 5820024
 P 20417 0 86897 5940324
 P 20417 0 90287 6060624
 P 22699 0 90304 6181624
 P 24783 0 90308 6301224
 P 24783 0 93698 6421524
 P 24783 0 97088 6541824
 P 24783 0 100478 6662124
 P 25112 0 103877 6784306
 P 27134 0 103880 6902724
 P 29437 0 103889 7023024
 P 29437 0 107279 7143324
 P 29437 0 110669 7263624
 P 29766 0 114068 7385230
 P 32525 0 114072 7504224
 P 34923 0 114082 7624524
 P 34923 0 117472 7744824
 P 34923 0 120862 7865124
 P 35253 0 124261 7987692
 P 37661 0 124265 8105724
 P 39003 0 124274 8226024
 P 39003 0 127664 8346324
 P 39003 0 131054 8466624
 P 39332 0 134453 8587591
 P 40142 0 134457 8707224
 P 42188 0 134466 8827524
 P 42188 0 137856 8947824
 P 42188 0 141246 9068124
 P 42518 0 144645 9191075
 P 44321 0 144649 9308724
 P 46559 0 144658 9429024
 P 46559 0 148048 9549324
 P 46559 0 151438 9669624
 P 46888 0 154837 9791999
 P 48021 0 154840 9910224
 P 49939 0 154849 10030524
 P 49939 0 158239 10150824
 P 49939 0 161629 10271124
 P 50268 0 165028 10392410
 P 51850 0 165032 10511724
 P 52936 0 165041 10632024
 P 52936 0 168431 10752324
 P 52936 0 171821 10872624
 P 53266 0 175220 10994360
 P 54786 0 175223 11113224
 P 56224 0 175232 11233524
 P 56224 0 178622 11353824
 P 56224 0 182012 11474124
 P 56553 0 185411 11595795
 P 58811 0 185415 11714724
 P 60473 0 185424 11835024
 P 60473 0 188814 11955324
 P 60473 0 192204 12075624
 P 62993 0 192214 12196553
 P 64972 73 192229 12317741
 P 67341 545 192240 12437409
 P 68841 618 192255 12558340
 P 71210 1088 192266 12678008
 P 73231 1360 192278 12798338
 P 75214 1433 192292 12919242
 P 77679 1903 192303 13038907
 P 79180 1976 192319 13159842
 P 79191 1976 195711 13279477
 P 80373 2049 195725 13400440
 P 82390 2245 196938 13520106
 P 84438 2245 196944 13640473
 P 86229 2318 196959 13761341
 P 88598 2786 196970 13881006
 P 90581 2859 196985 14001940
 P 92085 2932 197000 14122145
 P 94102 3205 199582 14244440
 P 96088 3278 199597 14362842
 P 98202 3278 199603 14482477
 P 100572 3351 199617 14603442
 P 102589 3815 199628 14723102
 P 104574 3888 199643 14844040
 P 107009 3961 199657 14964245
 P 108196 4034 199671 15084321
 P 110157 4306 199682 15205269
 P 111663 4379 199697 15325241
 P 114099 4452 199711 15445444
 P 116473 4525 199726 15565523
 P 118435 4525 202308 15688200
 P 120425 4598 202322 15806441
 P 121615 4598 202327 15926077
 P 122803 4671 202342 16047041
 P 124820 4943 204923 16169080
 P 126329 5016 204937 16287640
 P 128346 5474 204948 16407296
 P 130336 5547 204963 16528241
 P 131846 5620 204978 16648445
 P 133037 5693 204992 16768521
 P 135054 5965 207573 16892096
 P 136564 6038 207588 17009440
 P 138582 6493 207599 17129094
 P 141167 6493 208839 17252100
 P 143128 6767 208850 17369677
 P 145121 6840 208865 17490642
 P 147562 6913 208879 17610845
 P 148754 6986 208894 17730921
 P 151162 7059 208909 17851380
 P 152963 7132 208923 17972736
 P 154218 7132 208929 18092946
 P 156498 7477 208949 18212345
 P 158012 7550 208964 18332421
 P 160029 7822 211545 18455996
 P 161761 7822 214121 18575400
 P 163755 7895 214136 18693640
 P 165880 7895 214141 18813277
 P 167076 7968 214156 18934241
 P 169488 8041 214171 19054445
 P 171292 8114 214186 19174521
 P 172808 8187 214201 19294981
 P 174825 8459 216782 19418812
 P 176341 8532 216797 19535740
 P 178358 8983 216808 19655387
 P 179876 9056 216823 19776341
 P 181893 9504 216834 19895986
 P 183411 9577 216849 20016941
 P 185428 10023 216860 20136584
 P 187426 10096 216875 20257540
 P 189944 10096 218189 20379804
 P 191961 10368 220771 20500104
 P 193482 10441 220786 20618442
 P 195443 10441 220797 20737853
 P 196963 10514 220813 20859042
 P 198980 10514 223394 20981080
 P 200500 10587 223409 21099640
 P 202517 11033 223420 21219282
 P 204039 11106 223434 21340241
 P 206056 11547 223445 21459881
 P 207578 11620 223460 21580841
 P 209595 12062 223471 21700480
 P 211597 12135 223485 21821440
 P 212861 12135 223491 21941138
 P 215140 12208 223511 22061944
 P 216401 12376 223516 22181678
 P 218146 12376 223522 22302134
 P 220598 12449 223538 22422942
 P 221801 12522 223553 22543145
 P 224221 12595 223567 22663220
 P 225727 12595 223573 22783126
 P 227252 12668 223588 22904141
 P 229269 13104 223599 23023774
 P 231275 13177 223614 23144741
 P 232802 13250 223629 23264946
 P 235127 13522 223640 23384626
 P 238187 13522 224899 23507700
 P 240194 13595 224914 23625940
 P 241721 13668 224929 23746145
 P 244177 13741 224943 23866221
 P 245385 13814 224958 23986681
 P 247514 13814 227534 24110096
 P 249521 13887 227549 24227440
 P 251049 13960 227563 24347644
 P 253506 14033 227578 24467721
 P 254715 14106 227593 24588181
 P 257102 14106 229912 24711596
 P 259528 14179 229927 24828941
 P 261345 14252 229942 24949146
 P 263658 14524 229953 25068813
 P 265670 14597 229968 25189841
 P 267201 14670 229983 25310045
 P 269660 14743 229998 25430121
 P 270872 14816 230012 25550581
 P 273258 14816 232335 25673996
 P 275685 14889 232350 25791340
 P 277504 14962 232365 25911544
 P 279817 15234 232376 26031213
 P 281830 15307 232391 26152241
 P 283364 15380 232406 26272446
 P 285326 15652 232417 26392113
 P 286859 15725 232432 26513141
 P 288876 16150 232443 26632763
 P 290410 16223 232458 26753741
 P 292427 16647 232469 26873362
 P 293963 16720 232485 26994342
 P 295980 17143 232496 27113961
 P 297516 17216 232510 27234941
 P 299533 17640 232521 27354560
 P 301068 17713 232536 27475540
 P 303085 17863 233749 27595160
 P 304621 17936 233763 27716140
 P 306638 18357 233774 27835759
 P 308175 18430 233789 27956741
 P 310197 18430 236369 28079100
 P 311734 18503 236384 28197341
 P 314013 18848 236404 28317320
 P 315550 18921 236419 28437780
 P 317567 19193 239000 28561612
 P 319106 19266 239015 28678541
 P 321123 19686 239026 28798157
 P 322663 19759 239040 28919141
 P 324680 20176 239051 29038755
 P 326219 20249 239066 29159740
 P 328236 20394 239077 29279355
 P 329514 20394 241652 29402400
 P 331535 20467 241667 29520641
 P 334004 20540 241682 29640845
 P 335226 20613 241696 29760922
 P 337664 20686 241711 29881381
 P 339231 20686 244287 30004796
 P 340773 20759 244303 30122141
 P 342790 21172 244315 30241751
 P 344332 21245 244330 30362740
 P 346350 21661 244340 30482351
 P 347894 21734 244354 30603341
 P 349912 22145 244366 30722950
 P 351455 22218 244381 30843941
 P 353473 22629 244392 30963549
 P 356297 22702 244412 31084445
 P 358322 22775 244427 31204521
 P 359548 22775 244433 31324413
 P 361576 22848 244448 31445442
 P 363886 22921 244463 31565645
 P 364947 22994 244478 31685721
 P 367224 23067 244492 31806181
 P 368575 23067 244498 31926970
 P 371094 23140 245480 32046844
 P 372638 23140 245485 32166353
 P 374949 23213 245500 32287541
 P 376013 23286 245515 32407746
 P 377876 23359 245530 32527821
 P 378941 23359 245535 32647713
 P 380004 23432 245550 32768740
 P 382026 23703 245562 32888214
 P 383152 23703 245567 33008834
 P 385432 24048 245587 33129544
 P 386817 24121 245602 33249621
 P 388835 24121 249385 33373196
 P 390221 24194 249399 33490541
 P 392239 24596 249410 33610140
 P 393368 24596 249415 33730634
 P 395648 24941 249435 33851344
 P 397034 25014 249450 33971420
 P 399059 25014 252030 34094100
 P 400927 25086 252044 34212339
 P 403243 25159 252059 34332545
 P 404311 25232 252074 34452621
 P 406278 25232 252079 34572513
 P 407954 25305 252094 34693542
 P 410328 25577 252105 34813014
 P 412196 25650 252120 34934140
 P 414514 25723 252134 35054345
 P 415584 25796 252149 35174421
 P 417870 25869 252166 35294883
 P 419508 25869 254519 35418296
 P 421378 25942 254533 35535641
 P 422768 26015 254550 35655846
 P 423840 26088 254565 35775922
 P 425858 26360 257147 35899496
 P 427730 26433 257162 36016841
 P 429122 26506 257177 36137045
 P 430195 26579 257191 36257121
 P 432213 26851 259772 36380696
 P 433605 26924 259787 36498041
