using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
connecting to /dev/ttyUSB0 (115200) [OK]
OçâûOÿMy address is 1.0.
nullmac PRIMAC, channel check rate 8 Hz, radio channel 26
Starting
Hello, world
84424 R 3.0 22 1 10304 21
 P 165165 5589 22212 21588534
84896 R 2.0 12 1 15347 22
 P 166635 5861 22222 21709487
85364 R 3.0 23 1 9452 23
 P 167457 6132 22231 21829134
85836 R 2.0 13 1 13599 24
 P 168860 6404 22240 21949434
86304 R 3.0 24 1 9496 25
 P 169682 6675 22249 22069734
86776 R 4.0 14 2 27819 26
 P 171182 6946 22258 22190034
87244 R 3.0 25 1 9540 27
 P 172189 7098 22269 22311787
87716 R 2.0 14 1 10999 28
 P 173593 7370 22277 22430634
88184 R 3.0 26 1 8687 29
 P 174414 7642 22285 22550934
88656 R 4.0 15 2 28801 30
 P 175818 7914 22294 22671234
89123 R 3.0 27 1 8731 31
 P 176638 8185 22303 22791534
89596 R 2.0 15 1 10190 32
 P 178110 8456 22314 22912423
90063 R 3.0 28 1 8775 33
 P 178930 8728 22322 23032134
90535 R 2.0 16 1 9338 34
 P 180334 9000 22330 23152434
91003 R 3.0 29 1 8819 35
 P 181153 9271 22340 23272734
91475 R 2.0 17 1 9382 36
 P 182558 9543 22348 23393034
91943 R 3.0 30 1 8863 37
 P 183444 9815 22358 23513955
92420 R 3.0 31 1 8444 38
 P 186087 10086 22367 23633634
92885 R 4.0 17 2 31239 39
 P 187589 10357 22376 23753934
93353 R 3.0 32 1 8481 40
 P 188531 10504 22385 23874234
93825 R 4.0 18 2 31284 41
 P 189937 10776 22393 23994534
94293 R 3.0 33 1 8524 42
 P 190823 11049 22403 24116895
94765 R 4.0 19 2 31326 43
 P 192229 11321 22412 24235134
95232 R 3.0 34 1 8568 44
 P 193046 11592 22421 24355434
95705 R 4.0 20 2 31371 45
 P 194453 11863 22430 24475734
96172 R 3.0 35 1 8612 46
 P 195270 12135 22438 24596034
96644 R 4.0 21 2 29623 47
 P 196744 12407 22448 24717659
97112 R 3.0 36 1 8656 48
 P 197561 12678 22457 24836634
97584 R 4.0 22 2 26979 49
 P 198967 12950 22465 24956934
98052 R 3.0 37 1 8700 50
 P 199783 13222 22473 25077234
98524 R 4.0 23 2 25230 51
 P 201191 13493 22482 25197534
98992 R 3.0 38 1 8744 52
 P 202074 13764 22493 25318807
99464 R 2.0 18 1 9307 53
 P 203577 14036 22501 25438134
99932 R 3.0 39 1 8787 54
 P 204392 14308 22509 25558434
100404 R 4.0 24 2 38483 55
 P 205800 14580 22517 25678734
100871 R 3.0 40 1 8831 56
 P 206615 14851 22526 25799034
101344 R 4.0 25 2 22674 57
 P 208090 15122 22538 25920851
101811 R 3.0 41 1 8875 58
 P 208904 15395 22547 26039634
102284 R 4.0 26 2 20926 59
 P 210314 15668 22556 26159934
102751 R 3.0 42 1 8919 60
 P 211128 15939 22565 26280234
103228 R 3.0 43 1 8500 61
 P 213766 16210 22574 26400534
103693 R 4.0 27 2 19648 62
 P 215242 16482 22585 26522255
104161 R 3.0 44 1 8537 63
 P 216055 16754 22593 26641134
104633 R 4.0 28 2 19691 64
 P 217465 17025 22602 26761434
105101 R 3.0 45 1 8581 65
 P 218278 17296 22611 26881734
